iter	Passed	Remaining
972	100080	105634
973	100181	105529
974	100282	105424
975	100381	105318
976	100483	105215
977	100583	105109
978	100681	105000
979	100783	104896
980	100884	104792
981	100999	104701
982	101100	104597
983	101200	104491
984	101300	104385
985	101401	104281
986	101515	104190
987	101616	104084
988	101718	103981
989	101833	103890
990	101933	103784
991	102035	103681
992	102135	103575
993	102235	103469
994	102336	103365
995	102435	103258
996	102534	103151
997	102635	103046
998	102733	102938
999	102824	102824
1000	102924	102718
1001	103027	102616
1002	103127	102511
1003	103237	102415
1004	103337	102308
1005	103435	102201
1006	103538	102098
1007	103638	101993
1008	103737	101886
1009	103835	101779
1010	103937	101675
1011	104037	101570
1012	104155	101482
1013	104265	101386
1014	104365	101281
1015	104466	101175
1016	104579	101082
1017	104691	100989
1018	104799	100891
1019	104901	100787
1020	105003	100683
1021	105102	100577
1022	105200	100470
1023	105299	100364
1024	105415	100273
1025	105515	100168
1026	105618	100065
1027	105718	99959
1028	105816	99852
1029	105916	99746
1030	106018	99643
1031	106119	99538
1032	106219	99433
1033	106320	99328
1034	106420	99223
1035	106547	99142
1036	106648	99038
1037	106772	98955
1038	106874	98850
1039	106977	98748
1040	107079	98644
1041	107180	98540
1042	107292	98446
1043	107393	98341
1044	107505	98246
1045	107609	98144
1046	107711	98041
1047	107809	97934
1048	107909	97828
1049	108013	97726
1050	108122	97628
1051	108223	97524
1052	108321	97417
1053	108424	97314
1054	108532	97216
1055	108630	97108
1056	108727	97001
1057	108828	96896
1058	108930	96793
1059	109033	96690
1060	109136	96587
1061	109238	96483
1062	109342	96381
1063	109442	96276
1064	109542	96170
1065	109641	96064
1066	109741	95959
1067	109843	95855
1068	109941	95749
1069	110046	95647
1070	110147	95543
1071	110248	95438
1072	110359	95342
1073	110462	95240
1074	110561	95134
1075	110661	95028
1076	110762	94924
1077	110863	94819
1078	110965	94716
1079	111067	94613
1080	111168	94508
1081	111269	94403
1082	111371	94300
1083	111471	94195
1084	111571	94090
1085	111672	93985
1086	111770	93878
1087	111871	93775
1088	111972	93670
1089	112073	93565
1090	112174	93461
1091	112273	93355
1092	112373	93250
1093	112475	93146
1094	112576	93042
1095	112676	92937
1096	112776	92832
1097	112876	92727
1098	112975	92621
1099	113078	92519
1100	113182	92416
1101	113283	92312
1102	113385	92209
1103	113485	92104
1104	113586	92000
1105	113688	91896
1106	113788	91791
1107	113890	91688
1108	113990	91583
1109	114060	91454
1110	114165	91352
1111	114265	91248
1112	114377	91152
1113	114480	91049
1114	114583	90947
1115	114694	90851
1116	114795	90747
1117	114897	90643
1118	114996	90538
1119	115100	90436
1120	115200	90331
1121	115303	90228
1122	115406	90125
1123	115507	90022
1124	115620	89926
1125	115720	89821
1126	115819	89716
1127	115921	89612
1128	116023	89510
1129	116124	89405
1130	116227	89302
1131	116326	89196
1132	116427	89093
1133	116529	88989
1134	116629	88885
1135	116730	88781
1136	116831	88676
1137	116934	88574
1138	117034	88469
1139	117149	88375
1140	117247	88269
1141	117348	88165
1142	117449	88061
1143	117551	87958
1144	117671	87868
1145	117771	87763
1146	117874	87660
1147	117981	87561
1148	118083	87457
1149	118209	87372
1150	118312	87269
1151	118413	87165
1152	118517	87063
1153	118623	86963
1154	118733	86865
1155	118838	86764
1156	118941	86661
1157	119042	86557
1158	119145	86454
1159	119247	86351
1160	119349	86248
1161	119452	86145
1162	119567	86051
1163	119667	85946
1164	119768	85842
1165	119869	85738
1166	119985	85644
1167	120088	85542
1168	120188	85437
1169	120291	85334
1170	120389	85229
1171	120493	85126
1172	120595	85023
1173	120693	84917
1174	120793	84812
1175	120893	84707
1176	120995	84604
1177	121098	84501
1178	121201	84399
1179	121300	84293
1180	121402	84190
1181	121506	84088
1182	121609	83985
1183	121710	83881
1184	121809	83775
1185	121909	83671
1186	122013	83569
1187	122115	83465
1188	122216	83362
1189	122317	83258
1190	122417	83153
1191	122517	83048
1192	122620	82945
1193	122733	82850
1194	122846	82754
1195	122950	82652
1196	123058	82552
1197	123162	82451
1198	123263	82347
1199	123364	82242
1200	123465	82138
1201	123567	82035
1202	123664	81928
1203	123761	81822
1204	123871	81724
1205	123972	81620
1206	124075	81517
1207	124177	81414
1208	124277	81310
1209	124389	81213
1210	124504	81118
1211	124618	81022
1212	124718	80917
1213	124819	80814
1214	124932	80718
1215	125034	80614
1216	125138	80512
1217	125240	80408
1218	125340	80304
1219	125454	80208
1220	125555	80104
1221	125638	79989
1222	125734	79882
1223	125837	79779
1224	125939	79676
1225	126041	79572
1226	126144	79470
1227	126245	79365
1228	126347	79262
1229	126448	79158
1230	126550	79055
1231	126651	78951
1232	126751	78846
1233	126851	78742
1234	126950	78637
1235	127055	78536
1236	127157	78432
1237	127255	78326
1238	127368	78230
1239	127468	78125
1240	127570	78022
1241	127673	77919
1242	127773	77815
1243	127874	77711
1244	127970	77604
1245	128072	77501
1246	128174	77398
1247	128279	77296
1248	128382	77194
1249	128482	77089
1250	128583	76985
1251	128691	76885
1252	128789	76780
1253	128889	76675
1254	128991	76572
1255	129094	76469
1256	129197	76367
1257	129299	76264
1258	129400	76160
1259	129502	76057
1260	129602	75952
1261	129703	75849
1262	129804	75745
1263	129905	75641
1264	130007	75537
1265	130110	75435
1266	130213	75332
1267	130313	75228
1268	130425	75131
1269	130527	75027
1270	130627	74923
1271	130729	74820
1272	130829	74715
1273	130931	74612
1274	131036	74510
1275	131140	74408
1276	131242	74305
1277	131340	74200
1278	131440	74095
1279	131540	73991
1280	131641	73887
1281	131741	73783
1282	131840	73678
1283	131942	73575
1284	132045	73472
1285	132146	73369
1286	132248	73265
1287	132348	73161
1288	132459	73063
1289	132562	72960
1290	132662	72856
1291	132763	72752
1292	132863	72648
1293	132962	72543
1294	133054	72435
1295	133156	72331
1296	133257	72228
1297	133359	72125
1298	133462	72022
1299	133564	71919
1300	133663	71814
1301	133762	71709
1302	133860	71604
1303	133961	71500
1304	134063	71397
1305	134166	71295
1306	134267	71191
1307	134368	71088
1308	134466	70982
1309	134578	70884
1310	134678	70780
1311	134778	70676
1312	134878	70572
1313	134981	70470
1314	135096	70373
1315	135197	70269
1316	135302	70168
1317	135404	70065
1318	135527	69973
1319	135627	69868
1320	135727	69764
1321	135828	69660
1322	135930	69557
1323	136032	69454
1324	136135	69352
1325	136237	69248
1326	136338	69145
1327	136449	69046
1328	136552	68944
1329	136653	68840
1330	136768	68743
1331	136869	68640
1332	136981	68541
1333	137082	68438
1334	137183	68334
